PhraseId	SentenceId	Phrase	Sentiment
1	1	A series of escapades demonstrating the adage that what is good for the goose is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story .	1
2	1	A series of escapades demonstrating the adage that what is good for the goose	2
3	1	A series	2
4	1	A	2
5	1	series	2
6	1	of escapades demonstrating the adage that what is good for the goose	2
7	1	of	2
8	1	escapades demonstrating the adage that what is good for the goose	2
9	1	escapades	2
10	1	demonstrating the adage that what is good for the goose	2
11	1	demonstrating the adage	2
12	1	demonstrating	2
13	1	the adage	2
14	1	the	2
15	1	adage	2
16	1	that what is good for the goose	2
17	1	that	2
18	1	what is good for the goose	2
19	1	what	2
20	1	is good for the goose	2
21	1	is	2
22	1	good for the goose	3
23	1	good	3
24	1	for the goose	2
25	1	for	2
26	1	the goose	2
27	1	goose	2
28	1	is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story .	2
29	1	is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story	2
30	1	is also	2
31	1	also	2
32	1	good for the gander , some of which occasionally amuses but none of which amounts to much of a story	2
33	1	for the gander , some of which occasionally amuses but none of which amounts to much of a story	2
34	1	the gander , some of which occasionally amuses but none of which amounts to much of a story	1
35	1	the gander ,	2
36	1	the gander	2
37	1	gander	2
38	1	,	2
39	1	some of which occasionally amuses but none of which amounts to much of a story	2
40	1	some of which	2
41	1	some	2
42	1	of which	2
43	1	which	2
44	1	occasionally amuses but none of which amounts to much of a story	2
45	1	occasionally	2
46	1	amuses but none of which amounts to much of a story	2
47	1	amuses	3
48	1	but none of which amounts to much of a story	1
49	1	but	2
50	1	none of which amounts to much of a story	1
51	1	none	2
52	1	of which amounts to much of a story	2
53	1	which amounts to much of a story	2
54	1	amounts to much of a story	2
55	1	amounts	2
56	1	to much of a story	2
57	1	to	2
58	1	much of a story	2
59	1	much	2
60	1	of a story	2
61	1	a story	2
62	1	story	2
63	1	.	2